src_ip,dst_ip,src_port,dst_port,protocol,packet_count,duration,avg_packet_size
142.250.193.2,192.168.118.134,443,57076,TCP,18,127.817231,391.67
216.58.200.177,192.168.118.134,443,38648,UDP,12,0.221874,859.42
192.168.118.134,192.168.118.2,32900,53,UDP,1,0,84.0
192.168.118.134,192.168.118.2,45094,53,UDP,2,0.000137,84.0
192.168.118.2,192.168.118.134,53,32900,UDP,1,0,141.0
192.168.118.2,192.168.118.134,53,45094,UDP,2,0.001454,106.0
192.168.118.134,216.58.196.104,58214,443,TCP,11,0.719615,247.27
192.168.118.134,216.58.196.104,58218,443,TCP,19,1.312368,197.0
192.168.118.134,216.58.196.104,58228,443,TCP,11,0.796603,247.27
192.168.118.134,216.58.196.104,58242,443,TCP,11,0.857885,247.27
216.58.196.104,192.168.118.134,443,58228,TCP,11,0.708697,644.0
216.58.196.104,192.168.118.134,443,58218,TCP,19,1.208598,413.84
216.58.196.104,192.168.118.134,443,58214,TCP,11,0.615548,644.09
216.58.196.104,192.168.118.134,443,58242,TCP,11,0.722857,644.64
192.168.118.134,172.217.24.78,59500,443,UDP,7,0.281794,451.29
192.168.118.134,192.168.118.2,33757,53,UDP,1,0,75.0
192.168.118.134,192.168.118.2,49867,53,UDP,2,0.000105,75.0
172.217.24.78,192.168.118.134,443,59500,UDP,13,0.194463,928.54
192.168.118.2,192.168.118.134,53,49867,UDP,2,0.004380,97.0
192.168.118.2,192.168.118.134,53,33757,UDP,1,0,132.0
192.168.118.134,172.217.24.227,44388,443,TCP,10,0.473680,265.7
192.168.118.134,172.217.24.227,44396,443,TCP,39,0.942108,118.26
172.217.24.227,192.168.118.134,443,44388,TCP,11,0.393586,590.91
172.217.24.227,192.168.118.134,443,44396,TCP,52,0.862771,3536.02
192.168.118.134,216.58.196.104,41134,443,UDP,8,0.517326,405.62
216.58.196.104,192.168.118.134,443,41134,UDP,12,0.421887,837.75
192.168.118.134,172.217.24.227,44935,443,UDP,7,0.301496,451.29
192.168.118.134,192.168.118.2,48915,53,UDP,1,0,77.0
192.168.118.134,192.168.118.2,44983,53,UDP,2,0.000001,77.0
172.217.24.227,192.168.118.134,443,44935,UDP,11,0.217501,854.09
192.168.118.2,192.168.118.134,53,48915,UDP,1,0,157.0
192.168.118.2,192.168.118.134,53,44983,UDP,2,0.004428,128.0
192.168.118.134,103.102.166.224,42726,443,TCP,9,0.564892,289.44
192.168.118.134,103.102.166.224,42728,443,TCP,45,121.334409,135.22
103.102.166.224,192.168.118.134,443,42728,TCP,53,121.223799,2008.25
103.102.166.224,192.168.118.134,443,42726,TCP,10,0.453167,430.7
192.168.118.134,192.168.118.2,56611,53,UDP,1,0,81.0
192.168.118.134,192.168.118.2,58247,53,UDP,2,0.000206,81.0
192.168.118.2,192.168.118.134,53,58247,UDP,2,0.000002,122.0
192.168.118.2,192.168.118.134,53,56611,UDP,1,0,151.0
192.168.118.134,103.102.166.224,42730,443,TCP,9,0.543363,289.89
192.168.118.134,103.102.166.224,42740,443,TCP,525,267.364771,119.1
103.102.166.224,192.168.118.134,443,42740,TCP,691,267.256889,2721.48
103.102.166.224,192.168.118.134,443,42730,TCP,10,0.434732,432.2
192.168.118.134,192.168.118.2,34189,53,UDP,1,0,80.0
192.168.118.134,192.168.118.2,34934,53,UDP,2,0.000076,80.0
192.168.118.2,192.168.118.134,53,34934,UDP,2,0.003297,102.0
192.168.118.2,192.168.118.134,53,34189,UDP,1,0,131.0
192.168.118.134,103.102.166.240,39748,443,TCP,9,0.523638,289.78
192.168.118.134,103.102.166.240,39754,443,TCP,118,262.112826,117.73
192.168.118.134,103.102.166.240,39758,443,TCP,2,0.082973,64.0
192.168.118.134,103.102.166.240,39766,443,TCP,2,0.082951,64.0
192.168.118.134,103.102.166.240,39772,443,TCP,2,0.082902,64.0
192.168.118.134,103.102.166.240,39776,443,TCP,2,0.082860,64.0
192.168.118.134,103.102.166.240,39780,443,TCP,2,0.107589,64.0
192.168.118.134,103.102.166.240,39784,443,TCP,9,0.594460,289.78
192.168.118.134,103.102.166.240,39794,443,TCP,10,0.593351,266.2
192.168.118.134,103.102.166.240,39796,443,TCP,9,0.592598,289.78
192.168.118.134,103.102.166.240,39808,443,TCP,10,0.589948,266.2
103.102.166.240,192.168.118.134,443,39748,TCP,10,0.440422,362.8
103.102.166.240,192.168.118.134,443,39758,TCP,1,0,60.0
103.102.166.240,192.168.118.134,443,39754,TCP,127,262.030198,2018.43
103.102.166.240,192.168.118.134,443,39766,TCP,1,0,60.0
103.102.166.240,192.168.118.134,443,39772,TCP,1,0,60.0
103.102.166.240,192.168.118.134,443,39776,TCP,1,0,60.0
103.102.166.240,192.168.118.134,443,39780,TCP,1,0,60.0
103.102.166.240,192.168.118.134,443,39808,TCP,11,0.503443,334.82
103.102.166.240,192.168.118.134,443,39794,TCP,11,0.487980,335.27
103.102.166.240,192.168.118.134,443,39796,TCP,10,0.487981,362.8
103.102.166.240,192.168.118.134,443,39784,TCP,10,0.487147,363.0
192.168.118.134,192.168.118.2,46506,53,UDP,1,0,78.0
192.168.118.134,192.168.118.2,44334,53,UDP,2,0.000074,78.0
192.168.118.2,192.168.118.134,53,46506,UDP,1,0,148.0
192.168.118.2,192.168.118.134,53,44334,UDP,2,0.000001,119.0
192.168.118.134,103.102.166.224,43712,443,TCP,11,0.496133,246.73
192.168.118.134,103.102.166.224,43722,443,TCP,9,0.526623,289.56
103.102.166.224,192.168.118.134,443,43712,TCP,12,0.421366,369.08
103.102.166.224,192.168.118.134,443,43722,TCP,10,0.451931,432.1
192.168.118.134,192.168.118.2,51052,53,UDP,2,0.000241,78.0
192.168.118.134,192.168.118.2,40045,53,UDP,1,0,78.0
192.168.118.2,192.168.118.134,53,40045,UDP,1,0,148.0
192.168.118.2,192.168.118.134,53,51052,UDP,2,0.000000,119.0
192.168.118.134,103.102.166.224,43728,443,TCP,9,0.610636,289.56
192.168.118.134,103.102.166.224,43738,443,TCP,9,0.532033,289.56
103.102.166.224,192.168.118.134,443,43738,TCP,10,0.435017,432.3
103.102.166.224,192.168.118.134,443,43728,TCP,10,0.497181,432.3
192.168.118.134,172.217.24.238,33453,443,UDP,12,2.895191,790.58
192.168.118.134,172.217.24.238,54896,443,TCP,17,99.318704,219.06
172.217.24.238,192.168.118.134,443,33453,UDP,17,2.913665,430.82
172.217.24.238,192.168.118.134,443,54896,TCP,17,99.235488,179.59
192.168.118.134,172.236.180.15,36103,123,UDP,1,0,90.0
