src_ip,dst_ip,src_port,dst_port,protocol,packet_count,duration,total_bytes,avg_packet_size,min_iat,max_iat,mean_iat,std_iat,bytes_per_second,packets_per_second,avg_bytes_per_packet,dns_query_length,dns_subdomain_depth,dns_entropy,flag_high_packet,flag_long_duration,flag_high_dns_entropy,flag_deep_dns,suspicion_score,ml_anomaly_score,ml_score_normalized,rule_score_normalized,final_threat_score,severity
192.168.118.134,20.207.73.82,47822,443,TCP,12,0.733266,2760,230.0,5.7e-05,0.239697,0.066661,0.083223,3763.98,16.37,230.0,0,0,0.0,False,False,False,False,0,0.1910697446505386,0.998417029090837,0.0,0.3993668116363348,MEDIUM
192.168.118.134,20.207.73.82,47838,443,TCP,10,0.732875,2652,265.2,0.000337,0.207656,0.081431,0.079956,3618.62,13.64,265.2,0,0,0.0,False,False,False,False,0,0.1888806692417776,0.9927846632116952,0.0,0.3971138652846781,MEDIUM
192.168.118.134,20.207.73.82,47846,443,TCP,50,41.444612,6399,127.98,5e-05,29.996988,0.845808,4.279287,154.4,1.21,127.98,0,0,0.0,False,False,False,False,0,0.1054513124498993,0.7781256977723666,0.0,0.3112502791089466,MEDIUM
20.207.73.82,192.168.118.134,443,47838,TCP,10,0.628171,3924,392.4,1e-06,0.208188,0.069797,0.083086,6246.71,15.92,392.4,0,0,0.0,False,False,False,False,0,0.1874397841944646,0.9890773483591456,0.0,0.3956309393436582,MEDIUM
20.207.73.82,192.168.118.134,443,47846,TCP,73,41.340066,228294,3127.32,1e-06,29.996628,0.574168,3.552436,5522.34,1.77,3127.32,0,0,0.0,False,False,False,False,0,-0.0429361234617654,0.3963333083565892,0.0,0.1585333233426357,LOW
20.207.73.82,192.168.118.134,443,47822,TCP,12,0.62817,4032,336.0,1e-06,0.240637,0.057106,0.084236,6418.64,19.1,336.0,0,0,0.0,False,False,False,False,0,0.1899879832730456,0.9956337189099358,0.0,0.3982534875639743,MEDIUM
192.168.118.134,192.168.118.2,39195,53,UDP,2,0.000145,152,76.0,0.000145,0.000145,0.000145,0.0,1048576.0,13797.05,76.0,16,2,3.156,False,False,False,False,0,0.1525175678065482,0.8992244820667823,0.0,0.3596897928267129,MEDIUM
192.168.118.2,192.168.118.134,53,39195,UDP,2,2e-06,312,156.0,2e-06,2e-06,2e-06,0.0,163577856.0,1048576.0,156.0,16,2,3.156,False,False,False,False,0,0.0425356627746811,0.616247327992818,0.0,0.2464989311971272,LOW
192.168.118.134,104.18.38.233,43390,80,TCP,18,115.840709,1422,79.0,0.000989,10.338766,6.814159,4.641758,12.28,0.16,79.0,0,0,0.0,False,False,False,False,0,0.062311867558842,0.6671303723134658,0.0,0.2668521489253863,LOW
192.168.118.134,104.18.38.233,43402,80,TCP,22,119.869713,2500,113.64,0.000498,10.244449,5.708082,4.814748,20.86,0.18,113.64,0,0,0.0,False,False,False,False,0,0.0770829069944336,0.705135412333339,0.0,0.2820541649333356,LOW
192.168.118.134,104.18.38.233,43418,80,TCP,20,119.869731,1961,98.05,0.000949,10.24438,6.308933,4.676308,16.36,0.17,98.05,0,0,0.0,False,False,False,False,0,0.0678459241190068,0.6813691834654098,0.0,0.2725476733861639,LOW
104.18.38.233,192.168.118.134,80,43402,TCP,20,119.832938,4673,233.65,0.001369,11.24909,6.306997,4.791501,39.0,0.17,233.65,0,0,0.0,False,False,False,False,0,0.0755806739458291,0.7012702525806799,0.0,0.280508101032272,LOW
104.18.38.233,192.168.118.134,80,43418,TCP,18,119.801688,3268,181.56,0.002018,11.186637,7.047158,4.526403,27.28,0.15,181.56,0,0,0.0,False,False,False,False,0,0.0675124330857243,0.6805111301021758,0.0,0.2722044520408703,LOW
104.18.38.233,192.168.118.134,80,43390,TCP,16,115.772172,2053,128.31,0.001675,11.111132,7.718145,4.342306,17.73,0.14,128.31,0,0,0.0,False,False,False,False,0,0.0643872982589317,0.6724703368541687,0.0,0.2689881347416675,LOW
192.168.118.134,192.168.118.2,34450,53,UDP,1,0.0,83,83.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,23,2,3.588,False,False,False,False,0,0.1515253891869161,0.8966716632004863,0.0,0.3586686652801945,MEDIUM
192.168.118.134,192.168.118.2,43030,53,UDP,2,0.000117,166,83.0,0.000117,0.000117,0.000117,0.0,1418033.53,17084.74,83.0,23,2,3.588,False,False,False,False,0,0.1498587827843514,0.892383580205174,0.0,0.3569534320820696,MEDIUM
192.168.118.2,192.168.118.134,53,34450,UDP,1,0.0,148,148.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,23,2,3.588,False,False,False,False,0,0.1479946300347783,0.8875872217525675,0.0,0.355034888701027,MEDIUM
192.168.118.2,192.168.118.134,53,43030,UDP,2,0.0,342,171.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,23,2,3.588,False,False,False,False,0,0.1356897890423316,0.8559275693364149,0.0,0.3423710277345659,MEDIUM
192.168.118.134,185.199.110.154,48366,443,TCP,11,0.272628,2719,247.18,2e-05,0.13597,0.027263,0.043006,9973.29,40.35,247.18,0,0,0.0,False,False,False,False,0,0.1867820069892782,0.9873849252147706,0.0,0.3949539700859082,MEDIUM
192.168.118.134,185.199.110.154,48368,443,TCP,11,0.272423,2719,247.18,9.2e-05,0.140142,0.027242,0.042652,9980.8,40.38,247.18,0,0,0.0,False,False,False,False,0,0.1867820069892782,0.9873849252147706,0.0,0.3949539700859082,MEDIUM
192.168.118.134,185.199.110.154,48380,443,TCP,11,0.271564,2719,247.18,3e-05,0.124171,0.027156,0.040929,10012.37,40.51,247.18,0,0,0.0,False,False,False,False,0,0.1860085806432712,0.9853949434426283,0.0,0.3941579773770514,MEDIUM
192.168.118.134,185.199.110.154,48396,443,TCP,10,0.271476,2665,266.5,2.8e-05,0.137002,0.030164,0.044559,9816.7,36.84,266.5,0,0,0.0,False,False,False,False,0,0.188258355610537,0.9911834858156604,0.0,0.3964733943262641,MEDIUM
